2015-09-14 13:16:01,732, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.250000000000057jump up value: 2.840000000000032temp limit value: 0.0
2015-09-14 13:16:02,931, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.190000000000055jump up value: -6.979999999999961temp limit value: 0.5438000000000011
2015-09-14 13:16:03,279, DEBUG, DOWN VALUE-TambAmbient temperature value: 24.190000000000055jump up value: -2.0600000000000023temp limit value: 0.0
2015-09-14 13:16:04,289, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.730000000000018jump up value: 3.5399999999999636temp limit value: 0.6146000000000004
2015-09-14 13:16:05,088, DEBUG, UP VALUE-Tobj:--> object temperature value: 33.910000000000025jump up value: 3.180000000000007temp limit value: 0.6782000000000005
2015-09-14 13:16:05,088, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.670000000000016jump up value: 2.4799999999999613temp limit value: 0.0
2015-09-14 13:16:06,289, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.05000000000001jump up value: -6.860000000000014temp limit value: 0.5410000000000003
2015-09-14 13:16:06,289, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.53000000000003jump up value: -3.1399999999999864temp limit value: 0.0
2015-09-14 13:16:07,289, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.590000000000032jump up value: 4.5400000000000205temp limit value: 0.6318000000000007
2015-09-14 13:16:08,089, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.690000000000055jump up value: 3.1000000000000227temp limit value: 0.6938000000000011
2015-09-14 13:16:08,089, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.630000000000052jump up value: 3.1000000000000227temp limit value: 0.0
2015-09-14 13:16:09,710, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.79000000000002jump up value: -6.900000000000034temp limit value: 0.5558000000000004
2015-09-14 13:16:10,759, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.010000000000048jump up value: -3.6200000000000045temp limit value: 0.0
2015-09-14 13:16:12,079, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.390000000000043jump up value: 2.6000000000000227temp limit value: 0.6078000000000009
2015-09-14 13:16:12,882, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.31jump up value: 3.919999999999959temp limit value: 0.6862
2015-09-14 13:16:12,882, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.510000000000048jump up value: 3.5temp limit value: 0.0
2015-09-14 13:16:18,624, INFO, *******INFO NEW TEST**************
2015-09-14 13:16:18,654, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:16:18,654, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:16:18,654, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:16:18,654, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
