Time,Cycle, address, Tobject, Tambient, jumpvalue
02:18:35,1,91,31.33,35.61,-31.33
02:18:35,2,91,31.39,35.61,-0.06
02:18:36,3,91,31.39,35.61,0.0
02:18:36,4,91,31.33,35.61,0.06
02:18:36,5,91,31.33,35.61,0.0
02:18:37,6,91,31.33,35.61,0.0
02:18:37,7,91,31.33,35.61,0.0
02:18:38,8,91,31.33,35.61,0.0
02:18:38,9,91,31.33,35.61,0.0
02:18:38,10,91,31.33,35.61,0.0
02:18:39,11,91,31.33,35.61,0.0
02:18:39,12,91,31.33,35.61,0.0
02:18:40,13,91,31.29,35.61,0.04
02:18:40,14,91,31.29,35.61,0.0
02:18:40,15,91,31.29,35.61,0.0
02:18:41,16,91,31.33,35.61,-0.04
02:18:41,17,91,31.29,35.61,0.04
02:18:42,18,91,31.33,35.61,-0.04
02:18:42,19,91,31.33,35.61,0.0
02:18:42,20,91,31.33,35.57,0.0
02:18:43,21,91,31.29,35.57,0.04
Time,Cycle, address, Tobject, Tambient, jumpvalue
02:24:24,1,91,31.33,35.35,-31.33
02:24:24,2,91,31.39,35.35,-0.06
02:24:25,3,91,31.39,35.35,0.0
02:24:25,4,91,31.39,35.39,0.0
02:24:26,5,91,31.39,35.39,0.0
02:24:26,6,91,31.39,35.39,0.0
02:24:26,7,91,31.43,35.39,-0.04
02:24:27,8,91,31.43,35.39,0.0
02:24:27,9,91,31.43,35.39,0.0
02:24:28,10,91,31.43,35.39,0.0
02:24:28,11,91,31.43,35.39,0.0
02:24:28,12,91,31.43,35.39,0.0
02:24:29,13,91,31.43,35.39,0.0
02:24:29,14,91,31.47,35.39,-0.04
02:24:30,15,91,31.43,35.39,0.04
02:24:30,16,91,31.43,35.39,0.0
02:24:31,17,91,31.43,35.39,0.0
02:24:31,18,91,31.39,35.39,0.04
02:24:31,19,91,31.33,35.35,0.06
02:24:32,20,91,31.99,35.39,-0.66
02:24:32,21,91,32.33,35.39,-0.34
02:24:33,22,91,32.45,35.39,-0.12
02:24:33,23,91,32.51,35.39,-0.06
02:24:33,24,91,32.51,35.39,0.0
02:24:34,25,91,31.43,35.39,1.08
02:24:34,26,91,31.43,35.39,0.0
02:24:35,27,91,31.43,35.43,0.0
02:24:35,28,91,31.47,35.43,-0.04
02:24:35,29,91,31.47,35.39,0.0
Time,Cycle, address, Tobject, Tambient, jumpvalue
02:25:24,1,91,31.47,35.35,-31.47
02:25:25,2,91,31.43,35.35,0.04
02:25:25,3,91,31.43,35.35,0.0
02:25:26,4,91,31.47,35.35,-0.04
02:25:26,5,91,31.63,35.35,-0.16
02:25:26,6,91,31.59,35.31,0.04
02:25:27,7,91,31.55,35.31,0.04
02:25:27,8,91,31.59,35.35,-0.04
02:25:28,9,91,31.93,35.31,-0.34
02:25:28,10,91,31.63,35.35,0.3
02:25:28,11,91,31.47,35.35,0.16
02:25:29,12,91,31.47,35.35,0.0
02:25:29,13,91,31.55,35.35,-0.08
02:25:30,14,91,31.73,35.35,-0.18
02:25:30,15,91,31.81,35.35,-0.08
02:25:30,16,91,31.93,35.35,-0.12
02:25:31,17,91,32.15,35.31,-0.22
02:25:31,18,91,31.99,35.35,0.16
02:25:32,19,91,32.11,35.35,-0.12
02:25:32,20,91,32.07,35.35,0.04
02:25:32,21,91,32.07,35.35,0.0
02:25:33,22,91,32.03,35.35,0.04
02:25:33,23,91,31.93,35.35,0.1
02:25:34,24,91,31.99,35.35,-0.06
02:25:34,25,91,31.93,35.35,0.06
02:25:35,26,91,31.99,35.35,-0.06
02:25:35,27,91,31.99,35.35,0.0
02:25:35,28,91,32.03,35.35,-0.04
02:25:36,29,91,32.03,35.35,0.0
02:25:36,30,91,32.03,35.35,0.0
02:25:37,31,91,32.07,35.39,-0.04
02:25:37,32,91,32.19,35.35,-0.12
02:25:37,33,91,32.19,35.39,0.0
02:25:38,34,91,32.25,35.39,-0.06
02:25:38,35,91,32.11,35.39,0.14
02:25:39,36,91,32.07,35.39,0.04
02:25:39,37,91,32.11,35.39,-0.04
02:25:39,38,91,32.07,35.39,0.04
02:25:40,39,91,32.07,35.35,0.0
02:25:40,40,91,32.11,35.39,-0.04
02:25:41,41,91,32.29,35.39,-0.18
02:25:41,42,91,32.33,35.39,-0.04
02:25:41,43,91,32.25,35.39,0.08
02:25:42,44,91,32.25,35.39,0.0
02:25:42,45,91,32.25,35.39,0.0
02:25:43,46,91,32.25,35.39,0.0
02:25:43,47,91,32.19,35.39,0.06
02:25:43,48,91,32.15,35.39,0.04
02:25:44,49,91,32.25,35.39,-0.1
02:25:44,50,91,32.25,35.43,0.0
02:25:45,51,91,32.25,35.39,0.0
02:25:45,52,91,32.25,35.39,0.0
02:25:46,53,91,32.07,35.43,0.18
02:25:46,54,91,32.11,35.43,-0.04
02:25:46,55,91,32.15,35.43,-0.04
02:25:47,56,91,32.15,35.43,0.0
02:25:47,57,91,32.03,35.43,0.12
02:25:48,58,91,32.03,35.43,0.0
02:25:48,59,91,32.03,35.43,0.0
02:25:48,60,91,32.03,35.43,0.0
02:25:49,61,91,31.99,35.43,0.04
02:25:49,62,91,31.99,35.43,0.0
02:25:50,63,91,31.99,35.43,0.0
02:25:50,64,91,32.03,35.43,-0.04
02:25:50,65,91,32.03,35.43,0.0
02:25:51,66,91,32.03,35.43,0.0
02:25:51,67,91,32.03,35.49,0.0
